#separator:tab
#html:true
"<img src=""paste-5f754a09c9529fbea9c1ffba29f3e7eca4c06f26.jpg"" title=""이 &lt;&gt; 기본서 6199 참조위험물이란인화성또는발화성등의성질을가지는것으로서행정안전부령이정하는물품을말한다 .
ㅇ 1×""/>"	"<img src=""paste-26667490ffb184a306f567e4c9eb87702242882a.jpg"" title/>X"
"<img src=""paste-0401f2e127cee04bec7f30c066eff7474ecba4df.jpg"" title=""02 &lt;5 기본서 0199 참조지정수량이란위험물의종류별로위험성을고려하여행정안전부령이정하는수량으로서규정에의한제조소등의설치허가등에있어서최대의기준이되는수량을말한다 .
ㅇ 1×""/>"	"<img src=""paste-48e32af1d14061fb9dcb8ad0a547e894d25b522e.jpg"" title/>X"
"<img src=""paste-8de5f06cca765cab489b5432ddab54e9cb1a1a57.jpg"" title=""03 &lt; 가본서 0199 참조유기금속화합물 25[%9] 과아세톤 200[ ㄴ ] 를같은장소에저장하는경우에는지정수 :
이상의위험물로본다 .
ㅇ 1×""/>"	"<img src=""paste-2b16732069bab3fdae4fb23ed03d7da5eb78bea8.jpg"" title/>O<div><img src=""paste-ed122e7a588976e877b074800570fc45ef0b6749.png"" title/><br/></div>"
"<img src=""paste-0339f4a84876aeb56a98cead15e80472049249aa.jpg"" title=""04 &lt;5 기본서 0.201 참조
NFPA 804 의위험물분류기준에따라건강위험성은백색으로표시하고 , 화재위험성은적색 , 반응위험성은청색 , 특이사항은황색으로표현한다 .
ㅇ 1×""/>"	"<img src=""paste-6684275ed2388c656dacd7238b1c4baa832335a0.jpg"" title/>X<div><img src=""paste-a550e7067f06c24edb73b68b8b9d8e35afd99f04.png"" title/><br/></div>"
"<img src=""paste-9be9047fd5f5720e8504070d24e5e7d044628b38.jpg"" title=""05 &lt;&gt; 기본서 0.201 참조아이오딘산염류는제 1 류위험물에해당하며 , 지정수량은 1000[09] 이고 , 위험등급은
lojct.
ㅇ 1×""/>"	"<img src=""paste-a4115ecd3c0ec805e5dbe6f0dd4074e31c46a9d2.jpg"" title/>X<div><img src=""paste-e2c665804d46e006169746ef925eb3c8550ffa00.png"" title/><br/></div>"
"<img src=""paste-1c767b7d4fc834b4576af3e6e9b852fef6d787dd.jpg"" title=""06 &lt;5 기본서 0.201 참조산화성고체란고체로서환원력의잠재적인위험성또는가열분해의격렬함을판단하기위하여소방청장이정하여고시하는시험에서고시로정하는성질과상태를나타내는것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-b3e8572cb3e00fc9fad2368b7e33f2584c28b2a1.jpg"" title/>X"
"<img src=""paste-454a7120953fc334f944cd485c0e38ae1a5e3c6b.jpg"" title=""07 &lt;&gt; 기본서 0.202 참조제 ' 류위험물은불연성물질이며 , 강력한환원제이다 . 또한 , 다른가연물의연소를돕는지연성물질이다 .
ㅇ 1×""/>"	"<img src=""paste-0606c2a76cd678ccd538708a078ef628a7a90631.jpg"" title/>X<div><img src=""paste-08eb3184f15c16daabd94b1a1a5a46849184df09.png"" title/><br/></div>"
"<img src=""paste-6571c724874a2b9b5ff3c067203b815ee019ac48.jpg"" title=""08 &lt;&gt; 기본서 0.202 참조과산화나트륨 (4320&gt;) 을소화하기위해서는물을사용하며 , 염소산칼륨 (&lt;&lt;103) 은소화하기위해서건조사를사용한다 .
ㅇ 1×""/>"	"<img src=""paste-573fadf612389a5d73839e88e06adebece4eed48.jpg"" title/><div><img src=""paste-5c2cfa75075a980763d9d177ef12e2dcbe322ad4.png"" title/><br/></div><div><img src=""paste-7f8c69f5d86ce1c28dd87898a5c0cec0ac49084d.png"" title/><br/></div>"
"<img src=""paste-59bb3fa37752cf20be84985c5f56aaccc672fc31.jpg"" title=""09 &lt;&gt; 기본서 ”0.202 참조알칼리금속의과산화물은물과접촉할경우수소 (1?) 를방출한다 .""/><div>나트륨 칼륨은 물 접촉 시 ?</div>"	"<img src=""paste-78f3fcab5e2f3d0897350c895e2ee155d3d03579.jpg"" title/>X<div><img src=""paste-662fdc9491422c73e9ea8c1c6bbedfbb080d9647.png"" title/><br/></div>"
"<img src=""paste-c1d2665de0ac3509cc0a8c39fa29b35599c95a00.jpg"" title=""10 &lt;&gt; 기본서 6.202 참조
TN 위험물은대부분물에녹지앉으며 , 공기중에있는수분을흡수하여스스로녹는것도있다 .
1""/>"	"<img src=""paste-9dea89df426a74a94c9a8163bcdf4b7376f1141e.jpg"" title/>X<div><img src=""paste-662fdc9491422c73e9ea8c1c6bbedfbb080d9647.png"" title/><br/></div>"
"<img src=""paste-50033471b2a067596f6081c85038ef849b73cfd4.jpg"" title=""] &lt;5 가본서 0.204 참조제 2 류위험물중황화인 , 적린 , 황은지정수량이 100[《0] 이고 , 위험등급은 ｌ 이다 .
ㅇ 1×""/>"	"<img src=""paste-6e234e2af5955dde43e1dd3d2f536e2fc4a794f9.jpg"" title/>X<div><img src=""image-2bc993c2c724f59a183aa97f02f15dbbc3adc12a.jpg"" title/><br/></div>"
"<img src=""paste-81e8599559a4d5a5e18a4dd7a9966af2e32770cf.jpg"" title=""12 기본서 6.204 참조제 2 류위험물이란고체로서화염에의한발화의위험성또는인화의위험성을판단하기위하여고시로정하는시험에서고시로정하는성질과상태를나타내는것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-fb6579e3a5e378739d9f3fabe7fdac18780ede44.jpg"" title/>O<div><img src=""paste-5b602d52b7c4a1f1f2de539612ea73ed9768eef5.png"" title/><br/></div>"
"<img src=""paste-55cee7fd5d3860516adbea7bda1440b8f7ccf858.jpg"" title=""13 &gt; 가본서 0.204 참조황이란순도가 60 중량퍼센트이상인것을말하며 , 순도측정을하는경우불순물은활석등불연성물질과수분을제외한다 .
o1x""/>"	"<img src=""paste-c976daeb3764cc1ee545aa8d2b3a7656c3d2d66f.jpg"" title/>X"
"<img src=""paste-0359b2b19e9d8fb48d5d739acd9aaa21dccdefbc.jpg"" title=""14 &lt;&gt; 기본서 6.204 참조황 120[9] 과활석 80[09] 이섞여있을경우황의정의에따라위험물에해당한다 .
o1 x""/>"	"<img src=""paste-ba654f5dae6fa4c5af5f67acbb1700920441cba8.jpg"" title/>O"
"<img src=""paste-0913a10d6ba5c2b4a69205c822c88d302266ccc4.jpg"" title='&lt;5 기본서 0.204 참조의분말로서 53 마이크로미터의표준체를통과하는것이 50 중량퍼센트말한다 .
개
""'/>"	"<img src=""paste-e95276a6be5b51e39d01b4850c1bb5807f42fdf6.jpg"" title/>X<div><img src=""paste-ac33704d1eac165441a3b2340cd7d9a7072adfc6.png"" title/><br/></div>"
"<img src=""paste-89f7026e6e0baedb26353c1b578cc061df977ec0.jpg"" title=""16 &lt;5 기본서 0.204 참조금속분이란알칼리금속 - 알칼리토류금속 - 철및니켈외의금속의분말을말하고 , 구리분 - 마그네슴분및 150 마이크로미터의체를통과하는것이 60 중량퍼센트미만인것은제외한다 .
ㅇ 1×""/>"	"<img src=""paste-3510cda70a6c78a7195dd309cea88dfe3a08a8b7.jpg"" title/>X<div><img src=""paste-1046d201457bb1c3e1fbc26071feedb7e941540c.png"" title/><br/></div>"
"<img src=""paste-55587d03108d311fb34d87fa246716fd4e1abad9.jpg"" title=""17 &lt;5 기본서 0.204 참조인화성고체란변성알코올그밖에 1 기압에서인화점이섭씨 40 도이상인고체를말한다 .
ㅇ 1×""/>"	"<img src=""paste-ca7260f9befd1a616bbab4e33626b7dead42f652.jpg"" title/>X<div><img src=""paste-ac33704d1eac165441a3b2340cd7d9a7072adfc6.png"" title/><br/></div>"
"<img src=""paste-41454486b2bf196edc74452a1a209f617e91f143.jpg"" title=""18 &lt;&gt; 기본서 0.205 참조제 2 류위험물은제 | 류위험물또는제 6 류위험물등강산화성물질과의혼합을피하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-8daef64dd6a2990decd76b66ca4de36c021317a2.jpg"" title/>O<div><img src=""paste-7fc598d8d7677faff748e426bdb8637af53ce7ef.png"" title/><br/></div>"
"<img src=""paste-c6fcda3696878f3d779df02d0432d124c959aa41.jpg"" title=""19 &lt;&gt; 기본서 0.205 참조가연성고체는연소속도가매우빠른속연성물질이며 , 급격히연소또는폭발할수있는이연성물질이다 .
ㅇ 1×""/>"	"<img src=""paste-79196e527192554c14366803db5f384c9c87ff6d.jpg"" title/>O<div><img src=""paste-08b3f82741bd9e4d762d837994cb1bdfba6e4a04.png"" title/><br/></div>"
"<img src=""paste-fd0d4de4c3201848def0ce37a465ef57bc4daacd.jpg"" title=""20 &lt;&gt; 기본서 0.205 참조철분 , 금속분 , 마그네슴은 B 또는뜨거운 B, K2 산과접촉또는반응하여수소2
가스를발생시키므로이산화탄소소화약제를통해소화한다 .
ㅇ""/>"	"<img src=""paste-9f8a6b0318810eb47d972c9e0ad77b4fd057bb82.jpg"" title/>X<div><img src=""paste-08b3f82741bd9e4d762d837994cb1bdfba6e4a04.png"" title/><br/></div>"
"<img src=""paste-4449880fdf45e4d94c86992932586d1b266f6eee.jpg"" title=""21 &lt;&gt; 기본서 0.205 참조제 2 류위험물중적린 , 황 , 인화성고체는모두물을주수하는냉각소화가가능하다 .
o1x""/><div>질식</div><div>주수</div>"	"<img src=""paste-e8bfa42f0b1fc818f430e82d90e597c631c65a4d.jpg"" title/>O<div><img src=""paste-08b3f82741bd9e4d762d837994cb1bdfba6e4a04.png"" title/><br/></div>"
"<img src=""paste-7ed5c013845418600bffeb810df2ffabddc622a8.jpg"" title=""22 &lt;&gt; 기본서 6.206 참조황화인의종류에는삼황화인 (0453), 오황화인 (0255), 칠황화인 (8&lt;57) 이존재하며 , 이를동소체라한다 . 또한 , 오황화인 (0255) 은연소시황화수소 (125) 를발생시킨다 .
ㅇ 1×""/><div><img src=""image-4a78d66fd90dc42900c208fa50d8a7cd0fa09c3a.jpg"" title=""""/><br/></div>"	"<img src=""paste-7ad88783af61c9b455d8256e5d76eb10762b83f6.jpg"" title/>X<div><img src=""paste-a4c72e2f5f2fc004ed15da1429097c0332c07b11.png"" title/><br/></div>"
"<img src=""paste-73d64ed7ab61ecc5ae460fd716da75ed4b0cb33f.jpg"" title='23 &lt;&gt; 기본서 6.206 참조
"" 자연발화성물질및금수성물질 ” 이라함은고체또는액체로서공기중에서발화의위험성이있거나산과접촉하여발화하거나고압수증기를발생하는위험성이있는것을말한다 .
@1※'/>"	"<img src=""paste-b602737f1a42fcdd758e1fcbb5feafa00475a869.jpg"" title/>X<div><img src=""paste-a4c72e2f5f2fc004ed15da1429097c0332c07b11.png"" title/><br/></div>"
